timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/1/2017 16:00,0.2096,0.3059,0.2577
1/1/2017 16:05,0.2331,0.3194,0.2762
1/1/2017 16:10,0.2504,0.3366,0.2935
1/1/2017 16:15,0.2476,0.3177,0.2827
1/1/2017 16:20,0.2417,0.3112,0.2764
1/1/2017 16:25,0.2466,0.3828,0.3147
1/1/2017 16:30,0.2420,0.3384,0.2902
1/1/2017 16:35,0.2586,0.3340,0.2963
1/1/2017 16:40,0.2708,0.3459,0.3083
1/1/2017 16:45,0.2583,0.3345,0.2964
1/1/2017 16:50,0.2441,0.3220,0.2830
1/1/2017 16:55,0.2370,0.3526,0.2948
1/1/2017 17:00,0.2516,0.3455,0.2986
1/1/2017 17:05,0.2759,0.3356,0.3057
1/1/2017 17:10,0.2951,0.3537,0.3244
1/1/2017 17:15,0.2597,0.3310,0.2954
1/1/2017 17:20,0.2268,0.3076,0.2672
1/1/2017 17:25,0.2370,0.3722,0.3046
1/1/2017 17:30,0.2650,0.3651,0.3150
1/1/2017 17:35,0.2494,0.3557,0.3025
1/1/2017 17:40,0.2570,0.3741,0.3155
1/1/2017 17:45,0.2656,0.3528,0.3092
1/1/2017 17:50,0.2658,0.3399,0.3028
1/1/2017 17:55,0.2545,0.3226,0.2885
1/1/2017 18:00,0.2543,0.3060,0.2801
1/1/2017 18:05,0.2380,0.3178,0.2779
1/1/2017 18:10,0.2672,0.3426,0.3049
1/1/2017 18:15,0.2528,0.3282,0.2905
1/1/2017 18:20,0.2247,0.3086,0.2667
1/1/2017 18:25,0.2354,0.3516,0.2935
1/1/2017 18:30,0.2384,0.3229,0.2806
1/1/2017 18:35,0.2365,0.3222,0.2793
1/1/2017 18:40,0.2347,0.3229,0.2788
1/1/2017 18:45,0.2405,0.3111,0.2758
1/1/2017 18:50,0.2418,0.2984,0.2701
1/1/2017 18:55,0.2443,0.3173,0.2808
1/1/2017 19:00,0.2349,0.3068,0.2709
1/1/2017 19:05,0.2249,0.3037,0.2643
1/1/2017 19:10,0.2669,0.3328,0.2999
1/1/2017 19:15,0.2808,0.3296,0.3052
1/1/2017 19:20,0.2654,0.3229,0.2942
1/1/2017 19:25,0.2552,0.3662,0.3107
1/1/2017 19:30,0.2371,0.3206,0.2788
1/1/2017 19:35,0.2313,0.3186,0.2750
1/1/2017 19:40,0.2383,0.3242,0.2812
1/1/2017 19:45,0.2425,0.3140,0.2782
1/1/2017 19:50,0.2359,0.3188,0.2773
1/1/2017 19:55,0.2444,0.3371,0.2908
1/1/2017 20:00,0.2281,0.3211,0.2746
1/1/2017 20:05,0.2375,0.3161,0.2768
1/1/2017 20:10,0.2450,0.3451,0.2951
1/1/2017 20:15,0.2450,0.3454,0.2952
1/1/2017 20:20,0.2515,0.3376,0.2945
1/1/2017 20:25,0.2596,0.3817,0.3207
1/1/2017 20:30,0.2560,0.3479,0.3020
1/1/2017 20:35,0.2560,0.3537,0.3048
1/1/2017 20:40,0.2664,0.3543,0.3103
1/1/2017 20:45,0.2383,0.3217,0.2800
1/1/2017 20:50,0.2398,0.3622,0.3010
1/1/2017 20:55,0.2472,0.3409,0.2941
1/1/2017 21:00,0.2376,0.3169,0.2773
1/1/2017 21:05,0.2310,0.3268,0.2789
1/1/2017 21:10,0.2323,0.3306,0.2814
1/1/2017 21:15,0.2231,0.3227,0.2729
1/1/2017 21:20,0.2579,0.3284,0.2931
1/1/2017 21:25,0.2994,0.3948,0.3471
1/1/2017 21:30,0.3064,0.3942,0.3503
1/1/2017 21:35,0.2647,0.3732,0.3189
1/1/2017 21:40,0.2336,0.3668,0.3002
1/1/2017 21:45,0.2313,0.3452,0.2882
1/1/2017 21:50,0.2159,0.3290,0.2725
1/1/2017 21:55,0.2216,0.3462,0.2839
1/1/2017 22:00,0.2265,0.3300,0.2782
1/1/2017 22:05,0.2202,0.3074,0.2638
1/1/2017 22:10,0.2260,0.3233,0.2746
1/1/2017 22:15,0.2077,0.3058,0.2568
1/1/2017 22:20,0.1986,0.2820,0.2403
